subject,file,window_idx,start_sample,gesture_label,tier,score,laws_passed,laws_failed,verdict,recommendation,wavelet_signal_type,wavelet_cv,wavelet_entropy,synthetic_flag,n_issues,issues
s1,S1_E1_A1.mat,0,0,0,SILVER,67,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.552,0.876,False,3,Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,1,500,0,GOLD,75,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,GOLD — Excellent data quality. Safe for robot training.,Data is ready for robot training pipelines.,biological,1.32,0.905,False,3,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,2,1000,1,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.401,0.91,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,3,1500,1,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.358,0.923,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,4,2000,0,SILVER,59,inter_window_continuity|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,resonance_frequency,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.819,0.93,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,5,2500,1,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.914,0.906,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,6,3000,1,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.327,0.911,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,7,3500,0,SILVER,55,inter_window_continuity|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,resonance_frequency,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.504,0.898,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,8,4000,0,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.765,0.863,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
s1,S1_E1_A1.mat,9,4500,1,SILVER,66,inter_window_continuity|resonance_frequency|rigid_body_kinematics|jerk_bounds|imu_internal_consistency,,SILVER — Good data quality. Minor physics anomalies present.,Data is usable. Consider applying a low-pass filter at 12Hz to improve quality.,biological,0.327,0.913,False,4,Inter-window Continuity (temporal fabric): Timestamp regression or impossible acceleration jump detected. | Segment Resonance (physiological tremor): Signal frequency outside physiological tremor band. | Rigid Body Kinematics (accel-gyro coupling): Accel and gyro signals are decoupled — not from same rigid body. | IMU Internal Consistency (accel-gyro variance): Accel and gyro appear to be from independent signal generators.
